wl,n,k
1073.52,1.588968,0.000026
1076.92,1.588688,0.000022
1080.32,1.58841,0.000018
1083.72,1.588135,0.000015
1087.12,1.587862,0.000013
1090.52,1.587592,0.000011
1093.92,1.587324,0.00001
1097.33,1.587057,0.000009
1100.73,1.586792,0.000008
1104.13,1.586529,0.000008
1107.53,1.586267,0.000008
1110.93,1.586006,0.000008
1114.33,1.585746,0.000009
1117.73,1.585487,0.000009
1121.13,1.58523,0.000011
1124.53,1.584972,0.000012
1127.94,1.584716,0.000013
1131.34,1.58446,0.000015
1134.74,1.584205,0.000018
1138.14,1.58395,0.00002
1141.54,1.583695,0.000023
1144.94,1.583441,0.000027
1148.34,1.583187,0.000031
1151.75,1.582933,0.000035
1155.15,1.582678,0.00004
1158.55,1.582424,0.000046
1161.95,1.58217,0.000052
1165.35,1.581916,0.00006
1168.76,1.581662,0.000068
1172.16,1.581407,0.000076
1175.56,1.581153,0.000086
1178.96,1.580898,0.000097
1182.37,1.580643,0.000109
1185.77,1.580388,0.000122
1189.17,1.580132,0.000136
1192.58,1.579877,0.000151
1195.98,1.579621,0.000168
1199.38,1.579365,0.000186
1202.79,1.579109,0.000206
1206.19,1.578853,0.000227
1209.6,1.578596,0.00025
1213,1.57834,0.000275
1216.41,1.578084,0.000301
1219.81,1.577828,0.000329
1223.22,1.577572,0.000359
1226.62,1.577317,0.000391
1230.03,1.577062,0.000425
1233.43,1.576807,0.000461
1236.84,1.576553,0.0005
1240.25,1.5763,0.00054
1243.65,1.576047,0.000582
1247.06,1.575795,0.000626
1250.47,1.575545,0.000673
1253.88,1.575295,0.000721
1257.29,1.575047,0.000772
1260.69,1.5748,0.000825
1264.1,1.574555,0.000879
1267.51,1.574311,0.000936
1270.92,1.574069,0.000995
1274.33,1.573829,0.001055
1277.74,1.573591,0.001118
1281.15,1.573354,0.001182
1284.56,1.573121,0.001247
1287.98,1.572889,0.001314
1291.39,1.57266,0.001383
1294.8,1.572434,0.001453
1298.21,1.57221,0.001524
1301.63,1.571989,0.001596
1305.04,1.57177,0.001669
1308.45,1.571555,0.001743
1311.87,1.571342,0.001817
1315.28,1.571133,0.001892
1318.7,1.570926,0.001967
1322.12,1.570723,0.002043
1325.53,1.570522,0.002118
1328.95,1.570325,0.002193
1332.37,1.57013,0.002268
1335.78,1.569939,0.002342
1339.2,1.569751,0.002415
1342.62,1.569566,0.002487
1346.04,1.569384,0.002559
1349.46,1.569204,0.002629
1352.88,1.569028,0.002697
1356.3,1.568854,0.002765
1359.72,1.568683,0.00283
1363.15,1.568515,0.002893
1366.57,1.568349,0.002955
1369.99,1.568186,0.003014
1373.42,1.568024,0.003071
1376.84,1.567865,0.003126
1380.27,1.567708,0.003178
1383.69,1.567553,0.003227
1387.12,1.5674,0.003274
1390.55,1.567248,0.003318
1393.97,1.567097,0.003359
1397.4,1.566948,0.003397
1400.83,1.5668,0.003432
1404.26,1.566653,0.003464
1407.69,1.566507,0.003492
1411.12,1.566361,0.003518
1414.55,1.566216,0.00354
1417.98,1.566071,0.003559
1421.42,1.565927,0.003575
1424.85,1.565782,0.003587
1428.29,1.565637,0.003597
1431.72,1.565492,0.003603
1435.16,1.565346,0.003606
1438.59,1.5652,0.003605
1442.03,1.565052,0.003602
1445.47,1.564904,0.003596
1448.91,1.564755,0.003587
1452.35,1.564605,0.003574
1455.79,1.564453,0.003559
1459.23,1.564299,0.003541
1462.67,1.564145,0.003521
1466.11,1.563988,0.003498
1469.56,1.56383,0.003472
1473,1.56367,0.003444
1476.44,1.563508,0.003413
1479.89,1.563343,0.003381
1483.34,1.563177,0.003346
1486.78,1.563008,0.003309
1490.23,1.562837,0.00327
1493.68,1.562664,0.00323
1497.13,1.562489,0.003188
1500.58,1.56231,0.003144
1504.04,1.56213,0.003099
1507.49,1.561947,0.003052
1510.94,1.561761,0.003004
1514.4,1.561573,0.002955
1517.85,1.561382,0.002905
1521.31,1.561189,0.002854
1524.76,1.560993,0.002802
1528.22,1.560795,0.002749
1531.68,1.560593,0.002696
1535.14,1.56039,0.002642
1538.6,1.560183,0.002588
1542.06,1.559975,0.002534
1545.53,1.559763,0.002479
1548.99,1.559549,0.002424
1552.46,1.559333,0.002369
1555.92,1.559114,0.002314
1559.39,1.558893,0.002258
1562.86,1.558669,0.002204
1566.33,1.558443,0.002149
1569.8,1.558215,0.002094
1573.27,1.557984,0.00204
1576.74,1.557751,0.001987
1580.21,1.557517,0.001933
1583.69,1.557279,0.001881
1587.16,1.55704,0.001828
1590.64,1.556799,0.001777
1594.11,1.556556,0.001726
1597.59,1.556311,0.001676
1601.07,1.556064,0.001626
1604.55,1.555815,0.001577
1608.03,1.555565,0.001529
1611.52,1.555312,0.001482
1615,1.555058,0.001436
1618.49,1.554803,0.00139
1621.97,1.554546,0.001346
1625.46,1.554287,0.001302
1628.95,1.554027,0.001259
1632.44,1.553766,0.001217
1635.93,1.553503,0.001176
1639.42,1.553238,0.001136
1642.91,1.552973,0.001097
1646.41,1.552706,0.001059
1649.9,1.552438,0.001021
1653.4,1.552169,0.000985
1656.9,1.551899,0.00095
1660.39,1.551628,0.000915
1663.89,1.551355,0.000882
1667.4,1.551082,0.000849
1670.9,1.550808,0.000818
1674.4,1.550532,0.000787
1677.91,1.550256,0.000757
1681.41,1.549979,0.000728
1684.92,1.549701,0.0007
